remark,"CSV-Import-Export"
remark,"Date = Tue Sep 19 15:37:46 2017"
remark,"Version = RSLogix 5000 v20.01"
remark,"Owner = Microgrid_Project"
remark,"Company = Case Western Reserve University"
0.3
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
TAG,,Local:7:C,"","AB:1756_OF4_Float:C:0","","(ExternalAccess := Read/Write)"
TAG,,Local:7:I,"","AB:1756_OF4_Float:I:0","","(ExternalAccess := Read/Write)"
TAG,,Local:7:O,"","AB:1756_OF4_Float:O:0","","(ExternalAccess := Read/Write)"
TAG,,Local:8:C,"","AB:1756_DO:C:0","","(ExternalAccess := Read/Write)"
TAG,,Local:8:I,"","AB:1756_DO:I:0","","(ExternalAccess := Read/Write)"
TAG,,Local:8:O,"","AB:1756_DO:O:0","","(ExternalAccess := Read/Write)"
TAG,,Local:9:C,"","AB:1756_DO:C:0","","(ExternalAccess := Read/Write)"
TAG,,Local:9:I,"","AB:1756_DO:I:0","","(ExternalAccess := Read/Write)"
TAG,,Local:9:O,"","AB:1756_DO:O:0","","(ExternalAccess := Read/Write)"
ALIAS,,BRANCH_1_BUS_1_DISTAL_NC,"","","Local:8:O.Data.22","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BRANCH_1_BUS_1_DISTAL_NO,"","","Local:8:O.Data.21","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BRANCH_1_BUS_1_FAULT,"","","Local:8:O.Data.23","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BRANCH_1_BUS_1_LOAD_1_NC,"","","Local:8:O.Data.7","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BRANCH_1_BUS_1_LOAD_1_NO,"","","Local:8:O.Data.6","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BRANCH_1_BUS_1_LOAD_2_NC,"","","Local:8:O.Data.5","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BRANCH_1_BUS_1_LOAD_2_NO,"","","Local:8:O.Data.4","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BRANCH_1_BUS_1_LOAD_3_NC,"","","Local:8:O.Data.0","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BRANCH_1_BUS_1_LOAD_3_NO,"","","Local:8:O.Data.3","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BRANCH_1_BUS_1_PROXIMAL_NC,"","","Local:8:O.Data.2","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BRANCH_1_BUS_1_PROXIMAL_NO,"","","Local:8:O.Data.1","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BRANCH_1_BUS_2_DISTAL_NC,"","","Local:9:O.Data.4","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BRANCH_1_BUS_2_DISTAL_NO,"","","Local:9:O.Data.5","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BRANCH_1_BUS_2_FAULT,"","","Local:9:O.Data.8","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BRANCH_1_BUS_2_LOAD_1_NC,"","","Local:8:O.Data.31","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BRANCH_1_BUS_2_LOAD_1_NO,"","","Local:9:O.Data.0","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BRANCH_1_BUS_2_LOAD_2_NC,"","","Local:9:O.Data.1","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BRANCH_1_BUS_2_LOAD_2_NO,"","","Local:9:O.Data.2","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BRANCH_1_BUS_2_LOAD_3_NC,"","","Local:9:O.Data.6","(RADIX := Decimal, ExternalAccess := Read/Write)"
